Model,Type,Scenario,Region,Variable,Unit,2010,2020,2030,2040,2050,2055,2070
MENR (2006),Market Based Simulation,Baseline Scenario,Turkey,Secondary Energy|Electricity|Oil,TWh/yr,7,6,,,,,
MENR (2006),Market Based Simulation,Baseline Scenario,Turkey,Secondary Energy|Electricity|Gas,TWh/yr,107,167,,,,,
MENR (2006),Market Based Simulation,Baseline Scenario,Turkey,Secondary Energy|Electricity|Nuclear,TWh/yr,,32,,,,,
MENR (2006),Market Based Simulation,Baseline Scenario,Turkey,Secondary Energy|Electricity|Renewables,TWh/yr,62,118,,,,,
MENR (2006),Market Based Simulation,Baseline Scenario,Turkey,Emissions|CO2,Mt CO2/yr,349.81,604.63,,,,,
Gungor (2020),Linear Programming,SSP1-Baseline-FIT,Turkey,Primary Energy,MW,,153105.24,181031.44,188510.76,183936.52,,
Gungor (2020),Linear Programming,SSP1-Baseline-FIT,Turkey,Emissions|CO2,Mt CO2/yr,,293.826,342.508,355.158,348.025,,
Gungor (2020),Linear Programming,SSP1-RCP2.6-FIT,Turkey,Primary Energy,MW,,161827.9,188376.5,198407.1,201628.7,,
Gungor (2020),Linear Programming,SSP1-RCP2.6-FIT,Turkey,Emissions|CO2,Mt CO2/yr,,293.363,337.816,340.833,341.935,,
Gungor (2020),Linear Programming,SSP2-Baseline-FIT,Turkey,Primary Energy,MW,,156519.3,185380.1,190147.2,189784.4,,
Gungor (2020),Linear Programming,SSP2-Baseline-FIT,Turkey,Emissions|CO2,Mt CO2/yr,,301.963,351.771,363.442,366.497,,
Gungor (2020),Linear Programming,SSP2-RCP2.6-FIT,Turkey,Primary Energy,MW,,156233.4,180500.1,187877.3,189550.9,,
Gungor (2020),Linear Programming,SSP2-RCP2.6-FIT,Turkey,Emissions|CO2,Mt CO2/yr,,301.468,339.748,336.985,323.183,,
Gungor (2020),Linear Programming,SSP3-Baseline-FIT,Turkey,Primary Energy,MW,,170143.6,210350.3,222513.4,233571.8,,
Gungor (2020),Linear Programming,SSP3-Baseline-FIT,Turkey,Emissions|CO2,Mt CO2/yr,,311.957,387.618,415.018,428.726,,
Gungor (2020),Linear Programming,SSP3-RCP3.4-FIT,Turkey,Primary Energy,MW,,168614.3,206598,216213.7,219020,,
Gungor (2020),Linear Programming,SSP3-RCP3.4-FIT,Turkey,Emissions|CO2,Mt CO2/yr,,310.143,374.647,372.342,349.816,,
